electrode,variable,value,frequency
P2,19,0.29869484692087567,9.566029723991507
P1,19,2.0954859533900447,9.566029723991507
P3,19,0.7242087453205599,9.566029723991507
P5,19,0.10739294367426966,9.566029723991507
P7,19,0.06814862268915718,9.566029723991507
PO7,19,0.13014344732659308,9.566029723991507
PO3,19,0.8195746619118778,9.566029723991507
O1,19,0.7139470295588162,9.566029723991507
Pz,19,0.9294566544018525,9.566029723991507
POz,19,3.0611433339342438,9.566029723991507
Oz,19,2.710918349285503,9.566029723991507
Iz,19,0.8220013461549533,9.566029723991507
O2,20,0.22785356962613112,10.000849256900212
PO4,20,0.21539196329278934,10.000849256900212
PO8,20,0.11677589915679966,10.000849256900212
P8,20,0.292844755793424,10.000849256900212
P4,20,0.0773116343505787,10.000849256900212
P6,20,0.16165413838956913,10.000849256900212
P2,20,0.1987475005908367,10.000849256900212
P1,20,4.813212934354876,10.000849256900212
P3,20,2.0705317714855695,10.000849256900212
P5,20,0.5375422376075616,10.000849256900212
P7,20,0.35987827686384893,10.000849256900212
PO7,20,0.26466974898635537,10.000849256900212
PO3,20,1.372933163841241,10.000849256900212
O1,20,0.930180498361127,10.000849256900212
Pz,20,0.9044512749025757,10.000849256900212
POz,20,1.4619745607773809,10.000849256900212
Oz,20,1.0693127571170413,10.000849256900212
Iz,20,0.12663731082656812,10.000849256900212
O2,21,0.45014046151830656,10.435668789808918
PO4,21,1.746277479273982,10.435668789808918
PO8,21,0.768225666989799,10.435668789808918
P8,21,1.1979338229917587,10.435668789808918
P4,21,2.50858793972841,10.435668789808918
P6,21,1.828405755299694,10.435668789808918
P2,21,0.4900558605088615,10.435668789808918
P1,21,2.6339681388114164,10.435668789808918
P3,21,1.2459568930992855,10.435668789808918
P5,21,0.9559546115798232,10.435668789808918
P7,21,0.9527418783036209,10.435668789808918
PO7,21,0.6435409478299424,10.435668789808918
PO3,21,1.7224613610401214,10.435668789808918
O1,21,0.493981997324456,10.435668789808918
Pz,21,0.7899839370886328,10.435668789808918
POz,21,2.4452223268558044,10.435668789808918
Oz,21,0.024181796002201873,10.435668789808918
Iz,21,0.009840714610605004,10.435668789808918
O2,22,0.05764463588203715,10.870488322717623
PO4,22,0.0905649032604607,10.870488322717623
PO8,22,1.0740339033208883,10.870488322717623
P8,22,1.6852574441033001,10.870488322717623
P4,22,3.4817099814788635,10.870488322717623
P6,22,2.620789714621142,10.870488322717623
P2,22,1.2622075703625242,10.870488322717623
P1,22,0.859433935835244,10.870488322717623
P3,22,0.3548391543332862,10.870488322717623
P5,22,0.21325820652658123,10.870488322717623
P7,22,0.3301402286899156,10.870488322717623
PO7,22,0.5620134938130936,10.870488322717623
PO3,22,3.5005887212628,10.870488322717623
O1,22,2.920467356672784,10.870488322717623
Pz,22,0.7823244802508347,10.870488322717623
POz,22,18.16755018012195,10.870488322717623
Oz,22,2.534408357804713,10.870488322717623
Iz,22,0.8319614757107863,10.870488322717623
O2,23,0.18926007646389206,11.305307855626328
PO4,23,7.14798748684655,11.305307855626328
PO8,23,0.09400987765291435,11.305307855626328
P8,23,0.3490427024173387,11.305307855626328
P4,23,5.789680755180371,11.305307855626328
P6,23,1.6155359907069318,11.305307855626328
P2,23,8.7516627980805,11.305307855626328
P1,23,0.9533196174830474,11.305307855626328
P3,23,0.09110139177580576,11.305307855626328
P5,23,0.25717101019967725,11.305307855626328
P7,23,0.9104959211723151,11.305307855626328
PO7,23,0.16049982355439027,11.305307855626328
PO3,23,0.48184851202924617,11.305307855626328
O1,23,0.9167983934597459,11.305307855626328
Pz,23,5.908301302205672,11.305307855626328
POz,23,7.46850324863794,11.305307855626328
Oz,23,0.7041071475812181,11.305307855626328
Iz,23,0.6785244346589827,11.305307855626328
O2,24,0.07375842552288368,11.740127388535033
PO4,24,2.961938932859342,11.740127388535033
PO8,24,0.12560647281624426,11.740127388535033
P8,24,0.08250410203298987,11.740127388535033
P4,24,6.170952054158014,11.740127388535033
P6,24,1.0973368569586286,11.740127388535033
P2,24,6.049120594304842,11.740127388535033
P1,24,0.6433330422412658,11.740127388535033
P3,24,0.8208495236173539,11.740127388535033
P5,24,1.6416301004490907,11.740127388535033
P7,24,2.566728940231716,11.740127388535033
PO7,24,1.6083916609693742,11.740127388535033
PO3,24,0.5663762726465252,11.740127388535033
O1,24,1.169230441166667,11.740127388535033
Pz,24,1.3040456408094123,11.740127388535033
POz,24,0.8515847647774348,11.740127388535033
Oz,24,0.48643857619979797,11.740127388535033
Iz,24,0.850381912072238,11.740127388535033
O2,25,0.30730703015384075,12.174946921443738
PO4,25,1.1103204037573098,12.174946921443738
PO8,25,0.1292158977538768,12.174946921443738
P8,25,0.05319650266973525,12.174946921443738
P4,25,0.7503918667743767,12.174946921443738
P6,25,0.13964479442428357,12.174946921443738
P2,25,1.061793260518312,12.174946921443738
P1,25,0.04286878401464092,12.174946921443738
P3,25,0.22382854810461786,12.174946921443738
P5,25,0.5411413106165077,12.174946921443738
P7,25,0.59889795428327,12.174946921443738
PO7,25,0.6700929609002332,12.174946921443738
PO3,25,0.37128079284686033,12.174946921443738
O1,25,0.4635987985577175,12.174946921443738
Pz,25,0.02580227589818443,12.174946921443738
POz,25,0.368217712391376,12.174946921443738
Oz,25,0.5599662947249577,12.174946921443738
Iz,25,0.8183645601000117,12.174946921443738
O2,26,0.37642551032893984,12.609766454352442
PO4,26,1.8509203015056637,12.609766454352442
PO8,26,0.6203153798396552,12.609766454352442
P8,26,0.2428947099265179,12.609766454352442
P4,26,1.394892831932348,12.609766454352442
P6,26,0.5229671258617258,12.609766454352442
P2,26,5.463780783591411,12.609766454352442
P1,26,0.3166818794645614,12.609766454352442
P3,26,0.0727140458670424,12.609766454352442
P5,26,0.12687052153984538,12.609766454352442
P7,26,0.20715271034869184,12.609766454352442
PO7,26,0.461229820705878,12.609766454352442
PO3,26,0.012104824920632832,12.609766454352442
O1,26,0.15312401104075868,12.609766454352442
Pz,26,1.9360035657473398,12.609766454352442
POz,26,0.7267189411526461,12.609766454352442
Oz,26,0.11322250092288248,12.609766454352442
Iz,26,0.28079213617961435,12.609766454352442
O2,27,3.6412622538795523,13.044585987261147
PO4,27,4.372762771989844,13.044585987261147
PO8,27,1.6117513551498883,13.044585987261147
P8,27,0.825443029054362,13.044585987261147
P4,27,2.7351987445462953,13.044585987261147
P6,27,2.163186828508436,13.044585987261147
P2,27,4.503409696988987,13.044585987261147
P1,27,0.09664936004714825,13.044585987261147
P3,27,0.0583502531611775,13.044585987261147
P5,27,0.2212799248018783,13.044585987261147
P7,27,0.4782397558123531,13.044585987261147
PO7,27,0.4605530975421099,13.044585987261147
PO3,27,0.05522395996622132,13.044585987261147
O1,27,0.2657903008303744,13.044585987261147
Pz,27,1.3441748635761366,13.044585987261147
POz,27,0.0953990202394096,13.044585987261147
Oz,27,0.9278119768276474,13.044585987261147
Iz,27,1.1835398794706269,13.044585987261147
O2,28,4.047649409685184,13.479405520169852
PO4,28,0.8309788311411683,13.479405520169852
PO8,28,2.6357248049444326,13.479405520169852
P8,28,1.2473641032862857,13.479405520169852
P4,28,0.830182613622832,13.479405520169852
P6,28,1.5085456999442262,13.479405520169852
P2,28,0.35892753484322926,13.479405520169852
P1,28,0.23547254316140528,13.479405520169852
P3,28,0.008042984015145714,13.479405520169852
P5,28,0.23486006867995682,13.479405520169852
P7,28,0.21788799912543,13.479405520169852
PO7,28,0.6246184979371425,13.479405520169852
PO3,28,0.0018919269597153202,13.479405520169852
O1,28,0.3268278032119902,13.479405520169852
Pz,28,0.21571500446090958,13.479405520169852
POz,28,0.011112416137870488,13.479405520169852
Oz,28,0.7935299521305089,13.479405520169852
Iz,28,1.0110981351405055,13.479405520169852
O2,29,5.07566376389235,13.914225053078557
PO4,29,0.32328192003871214,13.914225053078557
PO8,29,1.2703607098376084,13.914225053078557
P8,29,0.5134399074895283,13.914225053078557
P4,29,0.12770198984867354,13.914225053078557
P6,29,0.29422708447777957,13.914225053078557
P2,29,0.11281776618729648,13.914225053078557
P1,29,1.2802948327700474,13.914225053078557
P3,29,0.6758372689750273,13.914225053078557
P5,29,0.8442862661300324,13.914225053078557
P7,29,1.0569294379240401,13.914225053078557
PO7,29,1.1714197467381566,13.914225053078557
PO3,29,0.20943172641560848,13.914225053078557
O1,29,0.5119338394763483,13.914225053078557
Pz,29,0.41932265833877125,13.914225053078557
POz,29,0.032736486677229365,13.914225053078557
Oz,29,0.7427344171869108,13.914225053078557
Iz,29,0.9546015722836165,13.914225053078557
O2,30,1.50965298746975,14.349044585987262
PO4,30,0.06527873597625526,14.349044585987262
PO8,30,1.3710308832870521,14.349044585987262
P8,30,1.1502588550059776,14.349044585987262
P4,30,0.16101168186650933,14.349044585987262
P6,30,0.7432988476717977,14.349044585987262
P2,30,0.12501271718475168,14.349044585987262
P1,30,1.076800056243005,14.349044585987262
P3,30,0.616256516850865,14.349044585987262
P5,30,0.40303287612810473,14.349044585987262
P7,30,0.7134734991031463,14.349044585987262
PO7,30,0.7117141868716376,14.349044585987262
PO3,30,0.5351546165108597,14.349044585987262
O1,30,0.8411965024148732,14.349044585987262
Pz,30,0.2320025318650976,14.349044585987262
POz,30,0.1333675338104218,14.349044585987262
Oz,30,1.3970055667898127,14.349044585987262
Iz,30,0.824915798144505,14.349044585987262
O2,31,0.8050294803303744,14.783864118895966
PO4,31,0.6078371599057518,14.783864118895966
PO8,31,2.1782842071500323,14.783864118895966
P8,31,2.7504460910654713,14.783864118895966
P4,31,0.9194085043331616,14.783864118895966
P6,31,2.468566624479624,14.783864118895966
P2,31,0.5881878260950262,14.783864118895966
P1,31,1.0688446731337145,14.783864118895966
P3,31,0.5764117502520536,14.783864118895966
P5,31,0.8666408672821331,14.783864118895966
P7,31,1.0012945944228102,14.783864118895966
PO7,31,0.6646096230489378,14.783864118895966
PO3,31,0.5278895480895623,14.783864118895966
O1,31,0.6347306817936279,14.783864118895966
Pz,31,0.7195096996147148,14.783864118895966
POz,31,0.4718478745028167,14.783864118895966
Oz,31,0.6513805866860647,14.783864118895966
Iz,31,0.3668746115711763,14.783864118895966
O2,32,0.09077399020545142,15.218683651804671
PO4,32,0.041102947892335887,15.218683651804671
PO8,32,0.3498252849749651,15.218683651804671
P8,32,0.5097539988765111,15.218683651804671
P4,32,0.11111681234725218,15.218683651804671
P6,32,0.2236412522145994,15.218683651804671
P2,32,0.03937779377351173,15.218683651804671
P1,32,0.39630957412153195,15.218683651804671
P3,32,1.1098290261926682,15.218683651804671
P5,32,0.5767093889989446,15.218683651804671
P7,32,0.3164296961826432,15.218683651804671
PO7,32,0.08239599803218435,15.218683651804671
PO3,32,0.5732989481858615,15.218683651804671
O1,32,0.4346689529736291,15.218683651804671
Pz,32,0.004635476423911585,15.218683651804671
POz,32,0.07743996081769361,15.218683651804671
Oz,32,0.31376708351876237,15.218683651804671
Iz,32,0.038286797330333425,15.218683651804671
O2,33,0.2156085478308579,15.653503184713376
PO4,33,0.15206474718793658,15.653503184713376
PO8,33,0.7493110127070105,15.653503184713376
P8,33,1.0206895753579435,15.653503184713376
P4,33,0.447918926277161,15.653503184713376
P6,33,0.6236255524822717,15.653503184713376
P2,33,0.3137388226432039,15.653503184713376
